TestCase,NP,ExecutionTime
1,1,0.00911795
1,2,0.00929846
1,3,0.0113691
1,4,0.00956921
1,5,0.0203003
1,6,0.0215014
1,7,0.0472417
1,8,0.0722779
1,9,0.0560332
1,10,0.0705115
1,11,0.0482363
1,12,0.0678014
2,1,0.0720526
2,2,0.0643712
2,3,0.0832212
2,4,0.0899015
2,5,0.0981486
2,6,0.117177
2,7,0.101799
2,8,0.101502
2,9,0.101245
2,10,0.0968873
2,11,0.102456
2,12,0.113617
3,1,0.242361
3,2,0.216087
3,3,0.277964
3,4,0.232188
3,5,0.298215
3,6,0.267202
3,7,0.269265
3,8,0.253226
3,9,0.300194
3,10,0.258496
3,11,0.28316
3,12,0.282979
4,1,0.571234
4,2,0.510924
4,3,0.65321
4,4,0.542386
4,5,0.643458
4,6,0.61481
4,7,0.629373
4,8,0.605376
4,9,0.641905
4,10,0.610686
4,11,0.709969
4,12,0.639346
5,1,1.11579
5,2,0.995582
5,3,1.28054
5,4,1.03351
5,5,1.2541
5,6,1.10631
5,7,1.18042
5,8,1.09672
5,9,1.24129
5,10,1.18589
5,11,1.2917
5,12,1.27566
6,1,1.92776
6,2,1.71841
6,3,2.20434
6,4,1.73921
6,5,2.1502
6,6,1.86877
6,7,2.04969
6,8,1.87662
6,9,2.1554
6,10,2.00583
6,11,2.14361
6,12,1.99557
7,1,3.059
7,2,2.72644
7,3,3.48712
7,4,2.74862
7,5,3.34638
7,6,2.83995
7,7,3.24953
7,8,3.1413
7,9,3.35661
7,10,3.33712
7,11,3.3766
7,12,3.23739
8,1,4.55852
8,2,4.06425
8,3,5.19486
8,4,4.46715
8,5,5.05373
8,6,4.4469
8,7,4.77729
8,8,4.44104
8,9,4.93264
8,10,4.71814
8,11,4.81565
8,12,5.00384
9,1,6.48202
9,2,5.78262
9,3,7.38394
9,4,6.2909
9,5,7.03978
9,6,6.44185
9,7,6.89576
9,8,6.34826
9,9,6.99422
9,10,6.51416
9,11,6.97038
9,12,7.12794
10,1,8.88973
10,2,7.92717
10,3,10.1546
10,4,8.40603
10,5,9.67583
10,6,8.30027
10,7,9.24128
10,8,8.3821
10,9,9.63501
10,10,9.67777
10,11,9.31951
10,12,9.44377
